WKT,Nombre,Descripción,nombre
"POINT (-77.0817293 -11.8460063)",14,Mauricio,
"POINT (-77.0613753 -11.8641526)",381,Óscar
,
"POINT (-77.0653278 -11.8644042)",377,,377
"POINT (-77.0812645 -11.8460433)",15,,
"POINT (-77.0777279 -11.8471179)",21,Andrea,
"POINT (-77.0808232 -11.8471809)",38,Mauricio,
"POINT (-77.0843704 -11.8470547)",53,Mauricio,
"POINT (-77.0739416 -11.8485383)",71,Franco: terreno para cultivo,
"POINT (-77.0724367 -11.8500442)",123,Esteban,
"POINT (-77.0599682 -11.8787083)",608,,
"POINT (-77.0787528 -11.8484798)",48,,
"POINT (-77.079294 -11.8495818)",81,Andrea,
"POINT (-77.0838886 -11.8498471)",85,,
"POINT (-77.0600835 -11.8804392)",618,,
"POINT (-77.0849239 -11.8496266)",103,,
"POINT (-77.0766755 -11.8522194)",120,Christian,
"POINT (-77.0749169 -11.8522285)",137,,
"POINT (-77.0724581 -11.852498)",152,Élida,
"POINT (-77.0834495 -11.8524088)",178,,
"POINT (-77.0836426 -11.8521568)",179,Miguel,
"POINT (-77.0889853 -11.8520626)",186,Miguel
,
"POINT (-77.0854479 -11.8521068)",189,Miguel,
"POINT (-77.0848042 -11.8521068)",190,Miguel,
"POINT (-77.0842463 -11.8523063)",191,Miguel,
"POINT (-77.0825088 -11.8545773)",204,,
"POINT (-77.0712516 -11.8530922)",220,,
"POINT (-77.0696389 -11.8530651)",224,Esteban,
"POINT (-77.075101 -11.8548582)",239,,
"POINT (-77.0714928 -11.856328)",279,Esteban,
"POINT (-77.0631952 -11.88013)",623,,
"POINT (-77.0773765 -11.8595187)",342,,
"POINT (-77.0665717 -11.8545893)",281,Esteban,
"POINT (-77.0658559 -11.8803957)",636,Angie,
"POINT (-77.0659149 -11.8798183)",637,,
"POINT (-77.0723385 -11.8565633)",300,Esteban,
"POINT (-77.0696785 -11.8583749)",362,,
"POINT (-77.0690212 -11.8562773)",302,,
"POINT (-77.0707056 -11.8572328)",323,,
"POINT (-77.0584787 -11.8831248)",651,,
"POINT (-77.0597232 -11.8830198)",656,Angie,
"POINT (-77.0695238 -11.8568783)",324,,
"POINT (-77.0631672 -11.8821694)",658,,
"POINT (-77.0658708 -11.8810985)",661,Angie,
"POINT (-77.0609412 -11.8639629)",382,Óscar
,
"POINT (-77.0642185 -11.8830484)",668,,
"POINT (-77.0590959 -11.8656028)",395,Esteban,
"POINT (-77.0576125 -11.8867448)",682,,
"POINT (-77.0620944 -11.8841542)",689,,
"POINT (-77.0593321 -11.8662135)",414,Esteban,
"POINT (-77.0595623 -11.8665456)",417,Esteban,
"POINT (-77.0641436 -11.8850046)",694,Angie,
"POINT (-77.0663796 -11.8852693)",696,Angie,
"POINT (-77.058358 -11.8668606)",420,Marjorie,
"POINT (-77.0616967 -11.8706279)",430,André,
"POINT (-77.0578143 -11.8713657)",452,André,
"POINT (-77.0578979 -11.8703869)",470,,
"POINT (-77.0586775 -11.8710178)",486,,
"POINT (-77.0580176 -11.8714036)",491,André,
"POINT (-77.0578096 -11.8726171)",502,,
"POINT (-77.0615963 -11.8737087)",529,Mauricio,
"POINT (-77.0604001 -11.8747743)",545,Marjorie,
"POINT (-77.06645 -11.8740576)",560,,
"POINT (-77.0655004 -11.8753634)",567,,
"POINT (-77.0603349 -11.8772049)",578,André,
"POINT (-77.0607855 -11.8769791)",579,Milagros,
"POINT (-77.0642608 -11.8776453)",585,,
"POINT (-77.0565736 -11.8785864)",599,,
"POINT (-77.0575446 -11.8798988)",606,,
"POINT (-77.0595101 -11.8673164)",429,Esteban,
"POINT (-77.0679066 -11.8852906)",703,,
"POINT (-77.0642282 -11.8859525)",714,Arturo,
"POINT (-77.0582868 -11.8878462)",728,,
"POINT (-77.0660534 -11.8874181)",740,Xiomara
,
"POINT (-77.0662733 -11.8871294)",741,Xiomara,
"POINT (-77.0663296 -11.8894824)",750,Óscar
,
"POINT (-77.0678992 -11.8918277)",775,,
"POINT (-77.0640422 -11.8913972)",782,Angie,
"POINT (-77.0650453 -11.8935715)",784,,
"POINT (-77.0659251 -11.8933878)",785,,
"POINT (-77.0676739 -11.8936949)",792,Esteban,
"POINT (-77.0647063 -11.8944159)",794,,
"POINT (-77.0660313 -11.8959015)",806,Gleni,
"POINT (-77.06756 -11.8970411)",808,Gleni,
"POINT (-77.0669562 -11.9010678)",823,Gleni,
"POINT (-77.0663391 -11.9039258)",832,Gleni,
"POINT (-77.0713241 -11.8579154)",337,,
"POINT (-77.0587981 -11.8722072)",458,,
