time_stamp,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b
2024-08-01T00:00:00Z,26,27,25
2024-10-01T00:00:00Z,22.5,22.8,22.3
2024-11-01T00:00:00Z,15.1,14.4,15.8
2025-01-01T00:00:00Z,15.1,15,15.3
2025-02-01T00:00:00Z,13.7,13.4,14
2025-03-01T00:00:00Z,14.5,14.2,14.8
2025-04-01T00:00:00Z,18.5,18.2,18.7
2025-05-01T00:00:00Z,30.3,29.9,30.7
2025-06-01T00:00:00Z,22.9,22.5,23.3
2025-07-01T00:00:00Z,27.9,27.5,28.3
2025-08-01T00:00:00Z,21.5,21.2,21.8
2025-09-01T00:00:00Z,26.3,25.9,26.6
2025-10-01T00:00:00Z,18.1,17.7,18.4
2025-11-01T00:00:00Z,19.1,18.6,19.7
2025-12-01T00:00:00Z,23.4,22.8,24
