time_stamp,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b
2024-03-01T00:00:00Z,23.8,23.1,24.5
2024-04-01T00:00:00Z,29.1,28,30.3
2024-05-01T00:00:00Z,56.6,54,59.3
2024-06-01T00:00:00Z,67.8,65.2,70.4
2024-07-01T00:00:00Z,57.6,56.1,59.1
2024-08-01T00:00:00Z,54.1,54.2,54.1
2024-09-01T00:00:00Z,902.8,49.8,1755.8
2024-10-01T00:00:00Z,2444.7,59.5,4829.8
2024-11-01T00:00:00Z,38.4,40.8,36.1
2024-12-01T00:00:00Z,38.3,41.2,35.4
2025-01-01T00:00:00Z,35.7,40.2,31.1
2025-02-01T00:00:00Z,37.7,43.8,31.6
2025-03-01T00:00:00Z,40.1,47.1,33.1
2025-04-01T00:00:00Z,43.3,47.3,39.3
2025-05-01T00:00:00Z,65.5,68.3,62.6
2025-06-01T00:00:00Z,57.8,57.6,58
2025-07-01T00:00:00Z,59.9,60.6,59.2
2025-08-01T00:00:00Z,54.2,56,52.5
2025-09-01T00:00:00Z,53.8,58,49.5
2025-10-01T00:00:00Z,48.2,53.3,43.2
2025-11-01T00:00:00Z,44.7,52,37.4
2025-12-01T00:00:00Z,46.4,51.7,41
