time_stamp,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b
2024-08-01T00:00:00Z,30.2,28.7,31.7
2024-10-01T00:00:00Z,79.5,78.5,80.5
2024-11-01T00:00:00Z,42.9,45,40.7
2024-12-01T00:00:00Z,45.9,47.6,44.2
2025-01-01T00:00:00Z,43,42.3,43.6
2025-02-01T00:00:00Z,1050.9,2043.4,58.4
2025-03-01T00:00:00Z,30.1,29.8,30.3
2025-04-01T00:00:00Z,36.3,36.2,36.3
2025-05-01T00:00:00Z,98.2,96.7,99.7
2025-09-01T00:00:00Z,53.2,56.2,50.3
2025-10-01T00:00:00Z,51.3,54.1,48.5
2025-11-01T00:00:00Z,49.4,52,46.8
2025-12-01T00:00:00Z,54.2,57.9,50.4
