time_stamp,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b
2023-07-01T00:00:00Z,38.9,37.4,40.4
2023-08-01T00:00:00Z,46.4,44.3,48.4
2023-09-01T00:00:00Z,44.1,42,46.2
2023-10-01T00:00:00Z,45.8,44.2,47.4
2023-11-01T00:00:00Z,40.3,39.4,41.2
2023-12-01T00:00:00Z,35.3,35.1,35.6
2024-01-01T00:00:00Z,24.2,23.7,24.7
2024-02-01T00:00:00Z,19.7,19.9,19.6
2024-03-01T00:00:00Z,22.5,23,22.1
2024-04-01T00:00:00Z,29.5,30.2,28.8
2024-05-01T00:00:00Z,61.1,61.8,60.4
2024-06-01T00:00:00Z,70,69.6,70.4
2024-07-01T00:00:00Z,60.9,60.9,61
2024-08-01T00:00:00Z,56.7,56.7,56.6
2024-09-01T00:00:00Z,49.5,48.7,50.3
2024-10-01T00:00:00Z,38.9,37.8,40.1
2024-11-01T00:00:00Z,31.2,29.7,32.6
2024-12-01T00:00:00Z,29.6,29.4,29.7
2025-01-01T00:00:00Z,24,23.9,24.1
2025-02-01T00:00:00Z,22.7,21.8,23.5
2025-03-01T00:00:00Z,19.5,18.1,20.8
2025-04-01T00:00:00Z,23.4,22.2,24.5
2025-05-01T00:00:00Z,39,40.1,37.9
2025-06-01T00:00:00Z,36.8,34.7,38.9
2025-07-01T00:00:00Z,38.3,36,40.6
2025-08-01T00:00:00Z,33.1,32.2,34.1
2025-09-01T00:00:00Z,33.3,33.5,33.1
2025-10-01T00:00:00Z,29.1,29.2,29
2025-11-01T00:00:00Z,30.8,32,29.7
2025-12-01T00:00:00Z,30.7,29,32.5
