time_stamp,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b
2024-08-01T00:00:00Z,27.4,26.2,28.6
2024-09-01T00:00:00Z,36.8,35.3,38.3
2024-10-01T00:00:00Z,27.7,26.4,29
2024-11-01T00:00:00Z,18.5,17.6,19.5
2024-12-01T00:00:00Z,19.2,18.4,20
2025-01-01T00:00:00Z,17.1,16.4,17.9
2025-02-01T00:00:00Z,1917,3817.5,16.5
2025-03-01T00:00:00Z,14.6,7.2,22
2025-04-01T00:00:00Z,22.3,21.4,23.2
2025-05-01T00:00:00Z,36.3,34.9,37.7
2025-06-01T00:00:00Z,31.2,29.5,32.9
2025-07-01T00:00:00Z,37.6,35.3,39.8
2025-08-01T00:00:00Z,27.3,24.1,30.4
2025-09-01T00:00:00Z,30.7,27.4,34
2025-10-01T00:00:00Z,24.6,22.5,26.7
2025-11-01T00:00:00Z,27.1,24.7,29.5
2025-12-01T00:00:00Z,26.7,25.2,28.1
