time_stamp,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b
2024-03-01T00:00:00Z,18.7,18.8,18.6
2024-04-01T00:00:00Z,24.7,25.1,24.3
2024-05-01T00:00:00Z,43.7,44.5,43
2024-06-01T00:00:00Z,45.9,46.9,44.8
2024-09-01T00:00:00Z,39.8,40.4,39.1
2024-10-01T00:00:00Z,31.5,33.6,29.4
2024-11-01T00:00:00Z,39.7,39.7,39.8
2025-01-01T00:00:00Z,35.1,35.5,34.7
2025-03-01T00:00:00Z,11.9,13.2,10.7
2025-04-01T00:00:00Z,23.9,27.3,20.5
2025-05-01T00:00:00Z,34.5,41.2,27.9
2025-07-01T00:00:00Z,35.5,43.5,27.5
2025-08-01T00:00:00Z,28.9,39.3,18.6
2025-09-01T00:00:00Z,23.4,36.3,10.5
2025-10-01T00:00:00Z,28.9,32.7,25
2025-11-01T00:00:00Z,31.6,33.4,29.8
2025-12-01T00:00:00Z,33.6,36.5,30.7
