time_stamp,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b
2024-02-01T00:00:00Z,35.7,35.4,36.1
2024-03-01T00:00:00Z,30.3,30,30.7
2024-04-01T00:00:00Z,38.7,37.9,39.5
2024-05-01T00:00:00Z,53.6,52.4,54.8
2024-07-01T00:00:00Z,54,53,55
2024-08-01T00:00:00Z,52.2,51.5,53
2024-10-01T00:00:00Z,18.4,17.8,19.1
2024-12-01T00:00:00Z,34.7,34.1,35.3
2025-01-01T00:00:00Z,31.9,30.9,32.9
2025-02-01T00:00:00Z,31.6,30.5,32.7
2025-03-01T00:00:00Z,29.2,28.5,29.9
2025-04-01T00:00:00Z,38.2,37.3,39.2
2025-05-01T00:00:00Z,50.1,49.3,50.8
2025-09-01T00:00:00Z,44.2,43.4,44.9
2025-10-01T00:00:00Z,40.1,39.3,40.9
2025-11-01T00:00:00Z,36.8,35.9,37.7
2025-12-01T00:00:00Z,41.6,40.8,42.4
