time_stamp,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b
2023-07-01T00:00:00Z,47.5,48.9,46
2023-08-01T00:00:00Z,53.1,55.3,50.9
2023-09-01T00:00:00Z,52.1,53.6,50.5
2023-10-01T00:00:00Z,55,56.7,53.3
2023-11-01T00:00:00Z,46.8,48.3,45.3
2023-12-01T00:00:00Z,42.2,43.3,41.1
2024-01-01T00:00:00Z,30.7,31.1,30.3
2024-02-01T00:00:00Z,27.6,28.5,26.7
2024-03-01T00:00:00Z,29.7,30.7,28.7
2024-04-01T00:00:00Z,37.5,36.6,38.4
2024-05-01T00:00:00Z,65.3,66.4,64.2
2024-06-01T00:00:00Z,71.5,73.1,69.9
2024-07-01T00:00:00Z,57.8,61.4,54.2
2024-08-01T00:00:00Z,56.6,58.1,55.2
2024-09-01T00:00:00Z,51.4,52.6,50.3
2024-10-01T00:00:00Z,41.4,42.3,40.4
2024-11-01T00:00:00Z,30.2,31.2,29.2
2024-12-01T00:00:00Z,30,29.9,30.2
2025-01-01T00:00:00Z,26.9,26.3,27.4
2025-02-01T00:00:00Z,26.4,26.8,26.1
2025-03-01T00:00:00Z,25.8,26.3,25.3
2025-04-01T00:00:00Z,30.7,31.8,29.6
2025-05-01T00:00:00Z,44.3,49.9,38.7
2025-06-01T00:00:00Z,40.8,45.9,35.6
2025-07-01T00:00:00Z,44.6,50.9,38.2
2025-08-01T00:00:00Z,38.7,44.5,32.9
2025-09-01T00:00:00Z,34.7,38.4,31
2025-10-01T00:00:00Z,30.2,34.3,26.2
2025-11-01T00:00:00Z,26.6,29.2,24.1
2025-12-01T00:00:00Z,29,31.8,26.1
