time_stamp,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b
2024-04-01T00:00:00Z,55.3,55.3,55.2
2024-05-01T00:00:00Z,57,56.9,57.1
2024-06-01T00:00:00Z,58.8,58.9,58.7
2024-07-01T00:00:00Z,51.8,51.3,52.2
2024-08-01T00:00:00Z,47.2,46.7,47.8
2024-09-01T00:00:00Z,40.5,40.3,40.8
2024-10-01T00:00:00Z,36.5,36.1,36.9
2024-11-01T00:00:00Z,26.6,26.1,27
2024-12-01T00:00:00Z,32.9,32.2,33.5
2025-01-01T00:00:00Z,27.3,26.8,27.8
2025-02-01T00:00:00Z,32.8,32.5,33.2
2025-03-01T00:00:00Z,29.1,27.7,30.5
2025-04-01T00:00:00Z,34,32,36
2025-05-01T00:00:00Z,47,46.4,47.7
2025-06-01T00:00:00Z,36.9,40.5,33.4
2025-07-01T00:00:00Z,41.9,46.5,37.2
2025-08-01T00:00:00Z,35.1,38.4,31.7
2025-09-01T00:00:00Z,38,40.8,35.2
2025-10-01T00:00:00Z,29.9,32.1,27.7
2025-11-01T00:00:00Z,29.6,31.2,28
2025-12-01T00:00:00Z,35.4,36.1,34.7
