time_stamp,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b
2024-03-01T00:00:00Z,22.2,21.1,23.4
2024-09-01T00:00:00Z,43.9,40.9,46.9
2024-10-01T00:00:00Z,35.7,32.7,38.8
2024-11-01T00:00:00Z,27.6,24.8,30.4
2025-01-01T00:00:00Z,24.5,22.1,27
2025-02-01T00:00:00Z,26.9,24.5,29.2
2025-03-01T00:00:00Z,25.2,23.1,27.3
2025-04-01T00:00:00Z,31.8,29.3,34.4
2025-05-01T00:00:00Z,51.1,48.6,53.7
2025-06-01T00:00:00Z,45.1,42.8,47.4
2025-07-01T00:00:00Z,47,44.6,49.3
2025-08-01T00:00:00Z,37.6,35,40.1
2025-09-01T00:00:00Z,38.2,35.8,40.6
2025-10-01T00:00:00Z,37.9,35.6,40.3
2025-11-01T00:00:00Z,30.9,28.1,33.6
2025-12-01T00:00:00Z,33.3,29.5,37.1
