time_stamp,humidity,humidity_a,humidity_b,temperature,temperature_a,temperature_b,voc,voc_a,voc_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b
2023-07-01T00:00:00Z,57,57,,76,76,,,,,33.4,32.4,34.4,39,37.9,40
2023-08-01T00:00:00Z,58,58,,76,76,,,,,37.6,36.5,38.8,44.7,43.6,45.9
2023-09-01T00:00:00Z,61,61,,74,74,,,,,36.2,35.1,37.3,43.2,42,44.4
2023-10-01T00:00:00Z,59,59,,76,76,,,,,37.4,36.6,38.3,44.9,44,45.8
2023-11-01T00:00:00Z,57,57,,77,77,,,,,34,33.5,34.5,39.9,39.4,40.4
2023-12-01T00:00:00Z,54,54,,81,81,,,,,31,30.7,31.2,35.4,35.3,35.6
2024-01-01T00:00:00Z,52,52,,85,85,,,,,22.5,22.1,22.8,24.6,24.3,24.9
2024-02-01T00:00:00Z,49,49,,88,88,,,,,18.9,19.1,18.8,20.4,20.6,20.2
2024-03-01T00:00:00Z,50,50,,87,87,,,,,21.4,21.8,21,23.4,23.9,22.8
2024-04-01T00:00:00Z,52,52,,83,83,,,,,26.4,26.9,26,29.8,30.4,29.2
2024-05-01T00:00:00Z,60,60,,74,74,,,,,45.3,45.7,44.9,54.5,55,54
2024-06-01T00:00:00Z,62,62,,70,70,,,,,50.3,50.1,50.6,60.9,60.8,61
2024-07-01T00:00:00Z,62,62,,69,69,,,,,45.6,45.5,45.8,56,56,56
2024-08-01T00:00:00Z,62,62,,68,68,,,,,44,43.4,44.5,53.9,53.3,54.5
2024-09-01T00:00:00Z,61,61,,70,70,,,,,40.1,39.6,40.6,48.8,48.6,49.1
2024-10-01T00:00:00Z,57,57,,74,74,,,,,33.6,32.8,34.3,39.3,38.7,39.8
2024-11-01T00:00:00Z,56,56,,76,76,,,,,28.4,27.3,29.4,32.1,31.1,33.1
2024-12-01T00:00:00Z,54,54,,79,79,,,,,26.5,26.4,26.5,29.8,29.9,29.6
2025-01-01T00:00:00Z,53,53,,82,82,,,,,21.8,21.8,21.9,24,24.1,23.8
2025-02-01T00:00:00Z,53,53,,86,86,,,,,20.4,19.7,21.2,22.7,22.1,23.2
2025-03-01T00:00:00Z,50,50,,86,86,,,,,18.7,17.5,19.8,20.4,19.4,21.5
2025-04-01T00:00:00Z,52,52,,82,82,,,,,21.8,20.9,22.7,24.3,23.6,25
2025-05-01T00:00:00Z,57,57,,76,76,,,,,33.5,33.8,33.1,40,40.9,39
2025-06-01T00:00:00Z,64,64,,71,71,,,,,32.3,30.5,34.2,38.5,36.6,40.4
2025-07-01T00:00:00Z,61,61,,71,71,,,,,34,32.1,35.9,41,39,43.1
2025-08-01T00:00:00Z,60,60,,70,70,,,,,30.4,29.5,31.4,36.2,35.4,37
2025-09-01T00:00:00Z,59,59,,71,71,,,,,30.1,29.9,30.2,35.8,36,35.6
2025-10-01T00:00:00Z,55,55,,75,75,,,,,27.1,26.9,27.3,31.7,31.8,31.6
2025-11-01T00:00:00Z,58,58,,75,75,,,,,28.2,28.9,27.6,32.6,33.8,31.5
2025-12-01T00:00:00Z,58,58,,77,77,,,,,27.7,26.4,29.1,31.8,30.6,33.1
