time_stamp,humidity,humidity_a,humidity_b,temperature,temperature_a,temperature_b,voc,voc_a,voc_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b
2024-04-01T00:00:00Z,46,46,,88,88,,,,,53.2,53,53.4
2024-05-01T00:00:00Z,61,61,,74,74,,,,,51.3,50.8,51.8
2024-06-01T00:00:00Z,62,62,,71,71,,,,,53.1,52.8,53.5
2024-07-01T00:00:00Z,62,62,,70,70,,,,,48.8,48.1,49.6
2024-08-01T00:00:00Z,60,60,,70,70,,,,,45.3,44.5,46.1
2024-09-01T00:00:00Z,60,60,,71,71,,,,,40.8,40.2,41.4
2024-10-01T00:00:00Z,57,57,,74,74,,,,,36.3,35.6,37
2024-11-01T00:00:00Z,56,56,,77,77,,,,,27.3,26.6,28
2024-12-01T00:00:00Z,55,55,,79,79,,,,,32.3,31.5,33.1
2025-01-01T00:00:00Z,53,53,,83,83,,,,,26.5,25.8,27.2
2025-02-01T00:00:00Z,53,53,,86,86,,,,,30.6,30.1,31.2
2025-03-01T00:00:00Z,51,51,,85,85,,,,,28.5,26.9,30
2025-04-01T00:00:00Z,55,55,,80,80,,,,,33,31.1,34.9
2025-05-01T00:00:00Z,59,59,,75,75,,,,,44.5,43.7,45.4
2025-06-01T00:00:00Z,62,62,,73,73,,,,,36.8,39,34.5
2025-07-01T00:00:00Z,60,60,,72,72,,,,,41.7,44.4,38.9
2025-08-01T00:00:00Z,60,60,,71,71,,,,,35.9,37.9,33.8
2025-09-01T00:00:00Z,59,59,,71,71,,,,,37.9,39.5,36.4
2025-10-01T00:00:00Z,56,56,,74,74,,,,,31,32.4,29.5
2025-11-01T00:00:00Z,55,55,,77,77,,,,,30.3,31.2,29.4
2025-12-01T00:00:00Z,54,54,,79,79,,,,,33.9,34,33.8
