"Outcome","Term","Estimate","95% CI","SE","t-value"
"ACE","Intercept",50.728,"(31.66, 69.795)",9.728,5.214
"ACE","PM2.5 (mean)",-0.006,"(-0.035, 0.023)",0.015,-0.381
"ACE","Age",-0.26,"(-0.352, -0.169)",0.047,-5.589
"ACE","Sex (Male)",-1.408,"(-4.179, 1.362)",1.413,-0.996
"ACE","Education: None",10.525,"(-1.702, 22.752)",6.238,1.687
"ACE","Education: Postgrad",27.784,"(2.218, 53.35)",13.044,2.13
"ACE","Education: Primary",11.742,"(0.357, 23.127)",5.809,2.021
"ACE","Education: Secondary",13.376,"(1.955, 24.796)",5.827,2.296
"ACE","Education: Non-university higher",15.551,"(3.859, 27.242)",5.965,2.607
"ACE","Education: University",12.268,"(-0.053, 24.588)",6.286,1.952
"ACE","Employment: Unpaid",0.223,"(-4.388, 4.834)",2.353,0.095
"ACE","Employment: Both",4.63,"(-8.375, 17.636)",6.636,0.698
"ACE","Employment: Retired",-4.17,"(-8.891, 0.551)",2.409,-1.731
"ACE","Employment: Not working (other)",0.298,"(-2.301, 2.897)",1.326,0.225
"ACE","obesitySí (IMC ≥ 30)",1.292,"(-0.976, 3.559)",1.157,1.117
"ACE","Gait speed (s)",0.077,"(-0.351, 0.506)",0.219,0.354
"ACE","Smoking: Ex-smoker",1.235,"(-4.355, 6.826)",2.852,0.433
"ACE","Smoking: Never",1.874,"(-3.427, 7.175)",2.705,0.693
"ACE","Alcohol: Daily",13.576,"(-21.864, 49.017)",18.082,0.751
"ACE","Alcohol: Never/quit",-0.213,"(-2.641, 2.214)",1.238,-0.172
"ACE","Fuel: Electricity",3.945,"(-22.37, 30.26)",13.426,0.294
"ACE","Fuel: Gas",2.016,"(-11.912, 15.945)",7.107,0.284
"ACE","Fuel: Wood",1.018,"(-14.107, 16.142)",7.717,0.132
"RUDAS","Intercept",6.476,"(0.88, 12.072)",2.855,2.268
"RUDAS","PM2.5 (mean)",0.002,"(-0.006, 0.011)",0.004,0.473
"RUDAS","Age",0.081,"(0.054, 0.107)",0.014,5.946
"RUDAS","Sex (Male)",0.45,"(-0.359, 1.26)",0.413,1.09
"RUDAS","Education: None",-3.147,"(-6.729, 0.435)",1.828,-1.722
"RUDAS","Education: Postgrad",-6.402,"(-13.964, 1.159)",3.858,-1.66
"RUDAS","Education: Primary",-3.068,"(-6.404, 0.269)",1.703,-1.802
"RUDAS","Education: Secondary",-3.126,"(-6.473, 0.221)",1.708,-1.831
"RUDAS","Education: Non-university higher",-3.323,"(-6.749, 0.102)",1.748,-1.901
"RUDAS","Education: University",-2.429,"(-6.042, 1.183)",1.843,-1.318
"RUDAS","Employment: Unpaid",0.026,"(-1.319, 1.37)",0.686,0.037
"RUDAS","Employment: Both",-0.847,"(-4.63, 2.936)",1.93,-0.439
"RUDAS","Employment: Retired",1.089,"(-0.289, 2.467)",0.703,1.549
"RUDAS","Employment: Not working (other)",-0.055,"(-0.814, 0.704)",0.387,-0.143
"RUDAS","obesitySí (IMC ≥ 30)",-0.354,"(-1.015, 0.307)",0.337,-1.049
"RUDAS","Gait speed (s)",-0.047,"(-0.172, 0.077)",0.064,-0.745
"RUDAS","Smoking: Ex-smoker",-0.201,"(-1.832, 1.43)",0.832,-0.241
"RUDAS","Smoking: Never",-0.523,"(-2.072, 1.026)",0.79,-0.662
"RUDAS","Alcohol: Daily",-4.724,"(-15.16, 5.713)",5.325,-0.887
"RUDAS","Alcohol: Never/quit",-0.018,"(-0.727, 0.69)",0.362,-0.05
"RUDAS","Fuel: Electricity",0.756,"(-6.935, 8.447)",3.924,0.193
"RUDAS","Fuel: Gas",0.323,"(-3.768, 4.414)",2.087,0.155
"RUDAS","Fuel: Wood",0.281,"(-4.157, 4.719)",2.264,0.124
