"time_stamp","humidity","humidity_a","humidity_b","temperature","temperature_a","temperature_b","voc","voc_a","voc_b","pm10_0_atm","pm10_0_atm_a","pm10_0_atm_b","sensor_id"
2022-02-01,47,47,NA,82,82,NA,NA,NA,NA,20.9,19.8,21.9,"129323"
2022-03-01,45,45,NA,83,83,NA,NA,NA,NA,21.6,20.4,22.7,"129323"
2022-04-01,47,47,NA,79,79,NA,NA,NA,NA,25.2,23.9,26.4,"129323"
2022-05-01,50,50,NA,74,74,NA,NA,NA,NA,38.4,37.4,39.4,"129323"
2022-06-01,52,52,NA,71,71,NA,NA,NA,NA,42.8,42,43.6,"129323"
2022-07-01,54,54,NA,69,69,NA,NA,NA,NA,41.8,41.1,42.6,"129323"
2022-08-01,54,54,NA,68,68,NA,NA,NA,NA,43.9,43.2,44.6,"129323"
2022-09-01,53,53,NA,69,69,NA,NA,NA,NA,38.1,37.4,38.7,"129323"
2022-10-01,52,52,NA,69,69,NA,NA,NA,NA,35.2,34.8,35.6,"129323"
2022-11-01,51,51,NA,73,73,NA,NA,NA,NA,26.6,26,27.1,"129323"
2023-03-01,44,44,NA,89,89,NA,NA,NA,NA,11.5,10.8,12.2,"129323"
2023-04-01,45,45,NA,88,88,NA,NA,NA,NA,11.3,10.7,12,"129323"
2023-05-01,50,50,NA,80,80,NA,NA,NA,NA,21.4,20.6,22.2,"129323"
2023-06-01,49,49,NA,79,79,NA,NA,NA,NA,24.8,23.6,26.1,"129323"
2023-07-01,49,49,NA,78,78,NA,NA,NA,NA,22.1,20.6,23.7,"129323"
2023-08-01,49,49,NA,78,78,NA,NA,NA,NA,22.1,20.9,23.4,"129323"
2023-09-01,52,52,NA,75,75,NA,NA,NA,NA,19.3,18.2,20.4,"129323"
2023-10-01,52,52,NA,76,76,NA,NA,NA,NA,24.1,22.9,25.3,"129323"
2023-11-01,51,51,NA,77,77,NA,NA,NA,NA,20,18.8,21.1,"129323"
2023-12-01,51,51,NA,79,79,NA,NA,NA,NA,17.7,16.5,18.9,"129323"
2024-01-01,49,49,NA,84,84,NA,NA,NA,NA,8.5,7.4,9.6,"129323"
2024-02-01,46,46,NA,88,88,NA,NA,NA,NA,7.6,6.3,9,"129323"
2024-03-01,45,45,NA,87,87,NA,NA,NA,NA,7.7,5.9,9.6,"129323"
2024-05-01,52,52,NA,74,74,NA,NA,NA,NA,32.4,23.8,40.9,"129323"
2024-06-01,53,53,NA,72,72,NA,NA,NA,NA,31.8,20.6,43,"129323"
2024-07-01,53,53,NA,71,71,NA,NA,NA,NA,24.1,12.9,35.3,"129323"
2024-08-01,52,52,NA,71,71,NA,NA,NA,NA,19.4,8.4,30.5,"129323"
2024-09-01,51,51,NA,72,72,NA,NA,NA,NA,17.7,5.6,29.8,"129323"
2024-10-01,49,49,NA,75,75,NA,NA,NA,NA,10.3,2.2,18.4,"129323"
2024-11-01,49,49,NA,77,77,NA,NA,NA,NA,4.3,0.6,8.1,"129323"
2024-12-01,48,48,NA,80,80,NA,NA,NA,NA,4.6,2.2,6.9,"129323"
2025-01-01,47,47,NA,83,83,NA,NA,NA,NA,5.2,5.5,4.9,"129323"
2025-02-01,46,46,NA,87,87,NA,NA,NA,NA,5.3,7.4,3.1,"129323"
2025-03-01,44,44,NA,88,88,NA,NA,NA,NA,2.8,3.8,1.9,"129323"
2025-04-01,44,44,NA,85,85,NA,NA,NA,NA,5.2,4.6,5.7,"129323"
2025-05-01,47,47,NA,79,79,NA,NA,NA,NA,14.4,11.1,17.7,"129323"
2025-06-01,52,52,NA,75,75,NA,NA,NA,NA,10.2,7.2,13.1,"129323"
2025-07-01,50,50,NA,74,74,NA,NA,NA,NA,12.7,8.5,16.8,"129323"
2025-08-01,50,50,NA,73,73,NA,NA,NA,NA,7.6,5.6,9.7,"129323"
2025-09-01,49,49,NA,75,75,NA,NA,NA,NA,6.5,6,7,"129323"
2025-10-01,47,47,NA,77,77,NA,NA,NA,NA,3.4,3.9,3,"129323"
2025-11-01,47,47,NA,78,78,NA,NA,NA,NA,2.4,2.9,2,"129323"
2025-12-01,47,47,NA,80,80,NA,NA,NA,NA,2.3,2.6,2,"129323"
2024-02-01,51,51,NA,87,87,NA,NA,NA,NA,35.3,35.2,35.4,"159005"
2024-03-01,53,53,NA,84,84,NA,NA,NA,NA,32.2,32,32.4,"159005"
2024-04-01,55,55,NA,80,80,NA,NA,NA,NA,38.9,38.5,39.4,"159005"
2024-05-01,61,61,NA,74,74,NA,NA,NA,NA,51.4,50.8,51.9,"159005"
2024-07-01,67,67,NA,67,67,NA,NA,NA,NA,52.9,52.7,53,"159005"
2024-08-01,52,52,NA,78,78,NA,NA,NA,NA,52.4,52,52.8,"159005"
2024-10-01,47,47,NA,81,81,NA,NA,NA,NA,19.8,19.2,20.5,"159005"
2024-12-01,56,56,NA,76,76,NA,NA,NA,NA,36.5,36.1,36.9,"159005"
2025-01-01,52,52,NA,83,83,NA,NA,NA,NA,32.8,32,33.6,"159005"
2025-02-01,53,53,NA,84,84,NA,NA,NA,NA,32.5,31.6,33.5,"159005"
2025-03-01,52,52,NA,83,83,NA,NA,NA,NA,31.5,30.3,32.7,"159005"
2025-04-01,55,55,NA,78,78,NA,NA,NA,NA,39.9,38.1,41.6,"159005"
2025-05-01,58,58,NA,74,74,NA,NA,NA,NA,50.4,48.7,52.2,"159005"
2025-09-01,60,60,NA,70,70,NA,NA,NA,NA,46.7,44.9,48.4,"159005"
2025-10-01,59,59,NA,72,72,NA,NA,NA,NA,43.3,41.3,45.2,"159005"
2025-11-01,57,57,NA,73,73,NA,NA,NA,NA,40.3,37.9,42.7,"159005"
2025-12-01,57,57,NA,76,76,NA,NA,NA,NA,42.3,40,44.6,"159005"
2024-03-01,44,44,NA,91,91,NA,NA,NA,NA,24.4,23.4,25.4,"159435"
2024-09-01,58,58,NA,71,71,NA,NA,NA,NA,43.8,41.3,46.3,"159435"
2024-10-01,54,54,NA,75,75,NA,NA,NA,NA,37.4,35,39.8,"159435"
2024-11-01,52,52,NA,77,77,NA,NA,NA,NA,30.8,28.4,33.2,"159435"
2025-01-01,48,48,NA,86,86,NA,NA,NA,NA,30.6,28.1,33.2,"159435"
2025-02-01,50,50,NA,87,87,NA,NA,NA,NA,32.3,30,34.7,"159435"
2025-03-01,48,48,NA,86,86,NA,NA,NA,NA,32.1,30,34.1,"159435"
2025-04-01,52,52,NA,80,80,NA,NA,NA,NA,39.4,37.2,41.5,"159435"
2025-05-01,55,55,NA,75,75,NA,NA,NA,NA,59,57.1,61,"159435"
2025-06-01,58,58,NA,74,74,NA,NA,NA,NA,49.6,47.9,51.2,"159435"
2025-07-01,56,56,NA,73,73,NA,NA,NA,NA,52.3,50.5,54.1,"159435"
2025-08-01,56,56,NA,72,72,NA,NA,NA,NA,44.6,42.4,46.9,"159435"
2025-09-01,54,54,NA,73,73,NA,NA,NA,NA,44.7,42.6,46.8,"159435"
2025-10-01,51,51,NA,76,76,NA,NA,NA,NA,46,43.7,48.2,"159435"
2025-11-01,49,49,NA,79,79,NA,NA,NA,NA,38.4,35.7,41.1,"159435"
2025-12-01,50,50,NA,81,81,NA,NA,NA,NA,38.4,34.9,41.9,"159435"
2024-03-01,52,52,NA,85,85,NA,NA,NA,NA,19.9,19.9,19.9,"159465"
2024-04-01,52,52,NA,82,82,NA,NA,NA,NA,26,26.2,25.9,"159465"
2024-05-01,57,57,NA,75,75,NA,NA,NA,NA,42.7,42.9,42.5,"159465"
2024-06-01,58,58,NA,71,71,NA,NA,NA,NA,45.4,45.7,45.2,"159465"
2024-09-01,55,55,NA,72,72,NA,NA,NA,NA,43.6,43.6,43.6,"159465"
2024-10-01,55,55,NA,74,74,NA,NA,NA,NA,34.6,36.5,32.7,"159465"
2024-11-01,50,50,NA,81,81,NA,NA,NA,NA,44.9,46.5,43.3,"159465"
2025-01-01,42,42,NA,88,88,NA,NA,NA,NA,39.4,42.1,36.7,"159465"
2025-03-01,48,48,NA,87,87,NA,NA,NA,NA,13.6,15.7,11.5,"159465"
2025-04-01,45,45,NA,87,87,NA,NA,NA,NA,30.9,38.3,23.6,"159465"
2025-05-01,53,53,NA,75,75,NA,NA,NA,NA,41.8,50.7,33,"159465"
2025-07-01,59,59,NA,72,72,NA,NA,NA,NA,39,46.8,31.2,"159465"
2025-08-01,57,57,NA,71,71,NA,NA,NA,NA,34.1,45.4,22.9,"159465"
2025-09-01,56,56,NA,72,72,NA,NA,NA,NA,27.6,42.3,12.9,"159465"
2025-10-01,54,54,NA,74,74,NA,NA,NA,NA,32.6,38.9,26.2,"159465"
2025-11-01,54,54,NA,76,76,NA,NA,NA,NA,35.7,39.8,31.7,"159465"
2025-12-01,54,54,NA,78,78,NA,NA,NA,NA,35.8,40.4,31.2,"159465"
2024-03-01,48,48,NA,87,87,NA,NA,NA,NA,25.1,24.7,25.5,"159599"
2024-04-01,48,48,NA,84,84,NA,NA,NA,NA,29.9,29.2,30.6,"159599"
2024-05-01,54,54,NA,76,76,NA,NA,NA,NA,52.2,51.1,53.3,"159599"
2024-06-01,57,57,NA,71,71,NA,NA,NA,NA,60.6,59.5,61.7,"159599"
2024-07-01,57,57,NA,70,70,NA,NA,NA,NA,54.3,53.7,54.9,"159599"
2024-08-01,56,56,NA,70,70,NA,NA,NA,NA,51.8,52.1,51.5,"159599"
2024-09-01,56,56,NA,71,71,NA,NA,NA,NA,615.4,49.9,1180.8,"159599"
2024-10-01,55,55,NA,73,73,NA,NA,NA,NA,1638.6,57.4,3219.9,"159599"
2024-11-01,52,52,NA,79,79,NA,NA,NA,NA,38.7,41,36.3,"159599"
2024-12-01,49,49,NA,80,80,NA,NA,NA,NA,37.7,40.5,34.9,"159599"
2025-01-01,48,48,NA,83,83,NA,NA,NA,NA,34.6,38.8,30.5,"159599"
2025-02-01,49,49,NA,86,86,NA,NA,NA,NA,36.1,41.2,31,"159599"
2025-03-01,47,47,NA,85,85,NA,NA,NA,NA,38.8,44.5,33.1,"159599"
2025-04-01,51,51,NA,80,80,NA,NA,NA,NA,41.8,45.3,38.4,"159599"
2025-05-01,55,55,NA,75,75,NA,NA,NA,NA,57.2,59.4,55,"159599"
2025-06-01,58,58,NA,73,73,NA,NA,NA,NA,52.4,52.8,52,"159599"
2025-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6,55.5,53.6,"159599"
2025-08-01,53,53,NA,72,72,NA,NA,NA,NA,50.9,52.7,49.1,"159599"
2025-09-01,54,54,NA,73,73,NA,NA,NA,NA,50.2,53.4,46.9,"159599"
2025-10-01,51,51,NA,75,75,NA,NA,NA,NA,46.4,50.3,42.4,"159599"
2025-11-01,50,50,NA,78,78,NA,NA,NA,NA,43,48.7,37.3,"159599"
2025-12-01,50,50,NA,80,80,NA,NA,NA,NA,43.9,48.3,39.6,"159599"
2024-08-01,50,50,NA,75,75,NA,NA,NA,NA,31.4,30,32.7,"180021"
2024-10-01,43,43,NA,84,84,NA,NA,NA,NA,65.2,64.8,65.6,"180021"
2024-11-01,58,58,NA,77,77,NA,NA,NA,NA,40.7,43.1,38.2,"180021"
2024-12-01,55,55,NA,78,78,NA,NA,NA,NA,42,43.4,40.6,"180021"
2025-01-01,53,53,NA,81,81,NA,NA,NA,NA,39.1,38.7,39.5,"180021"
2025-02-01,52,52,NA,85,85,NA,NA,NA,NA,708.2,1367.9,48.5,"180021"
2025-03-01,48,48,NA,86,86,NA,NA,NA,NA,29.5,29.5,29.6,"180021"
2025-04-01,51,51,NA,81,81,NA,NA,NA,NA,34.8,35.1,34.5,"180021"
2025-05-01,64,64,NA,74,74,NA,NA,NA,NA,73.1,72.9,73.4,"180021"
2025-09-01,58,58,NA,72,72,NA,NA,NA,NA,48.7,50.8,46.6,"180021"
2025-10-01,57,57,NA,73,73,NA,NA,NA,NA,47,49,44.9,"180021"
2025-11-01,56,56,NA,74,74,NA,NA,NA,NA,45.5,47.5,43.4,"180021"
2025-12-01,56,56,NA,77,77,NA,NA,NA,NA,47.8,50.5,45,"180021"
2024-04-01,46,46,NA,88,88,NA,NA,NA,NA,53.2,53,53.4,"180043"
2024-05-01,61,61,NA,74,74,NA,NA,NA,NA,51.3,50.8,51.8,"180043"
2024-06-01,62,62,NA,71,71,NA,NA,NA,NA,53.1,52.8,53.5,"180043"
2024-07-01,62,62,NA,70,70,NA,NA,NA,NA,48.8,48.1,49.6,"180043"
2024-08-01,60,60,NA,70,70,NA,NA,NA,NA,45.3,44.5,46.1,"180043"
2024-09-01,60,60,NA,71,71,NA,NA,NA,NA,40.8,40.2,41.4,"180043"
2024-10-01,57,57,NA,74,74,NA,NA,NA,NA,36.3,35.6,37,"180043"
2024-11-01,56,56,NA,77,77,NA,NA,NA,NA,27.3,26.6,28,"180043"
2024-12-01,55,55,NA,79,79,NA,NA,NA,NA,32.3,31.5,33.1,"180043"
2025-01-01,53,53,NA,83,83,NA,NA,NA,NA,26.5,25.8,27.2,"180043"
2025-02-01,53,53,NA,86,86,NA,NA,NA,NA,30.6,30.1,31.2,"180043"
2025-03-01,51,51,NA,85,85,NA,NA,NA,NA,28.5,26.9,30,"180043"
2025-04-01,55,55,NA,80,80,NA,NA,NA,NA,33,31.1,34.9,"180043"
2025-05-01,59,59,NA,75,75,NA,NA,NA,NA,44.5,43.7,45.4,"180043"
2025-06-01,62,62,NA,73,73,NA,NA,NA,NA,36.8,39,34.5,"180043"
2025-07-01,60,60,NA,72,72,NA,NA,NA,NA,41.7,44.4,38.9,"180043"
2025-08-01,60,60,NA,71,71,NA,NA,NA,NA,35.9,37.9,33.8,"180043"
2025-09-01,59,59,NA,71,71,NA,NA,NA,NA,37.9,39.5,36.4,"180043"
2025-10-01,56,56,NA,74,74,NA,NA,NA,NA,31,32.4,29.5,"180043"
2025-11-01,55,55,NA,77,77,NA,NA,NA,NA,30.3,31.2,29.4,"180043"
2025-12-01,54,54,NA,79,79,NA,NA,NA,NA,33.9,34,33.8,"180043"
2024-08-01,66,66,NA,67,67,NA,NA,NA,NA,29.9,28,31.8,"180073"
2024-09-01,65,65,NA,68,68,NA,NA,NA,NA,37.6,35.5,39.6,"180073"
2024-10-01,64,64,NA,70,70,NA,NA,NA,NA,29.2,27.4,31.1,"180073"
2024-11-01,63,63,NA,73,73,NA,NA,NA,NA,20,18.6,21.5,"180073"
2024-12-01,61,61,NA,76,76,NA,NA,NA,NA,20.4,19,21.8,"180073"
2025-01-01,59,59,NA,80,80,NA,NA,NA,NA,17.9,16.8,19.1,"180073"
2025-02-01,58,58,NA,83,83,NA,NA,NA,NA,1281.5,2545.4,17.6,"180073"
2025-03-01,58,58,NA,82,82,NA,NA,NA,NA,16.1,7.5,24.7,"180073"
2025-04-01,60,60,NA,78,78,NA,NA,NA,NA,23.4,21.9,24.9,"180073"
2025-05-01,63,63,NA,73,73,NA,NA,NA,NA,36.3,34.5,38.2,"180073"
2025-06-01,67,67,NA,70,70,NA,NA,NA,NA,32,29.9,34.2,"180073"
2025-07-01,65,65,NA,69,69,NA,NA,NA,NA,37.8,35.3,40.3,"180073"
2025-08-01,65,65,NA,68,68,NA,NA,NA,NA,29,25.6,32.5,"180073"
2025-09-01,64,64,NA,69,69,NA,NA,NA,NA,32.4,28.5,36.3,"180073"
2025-10-01,63,63,NA,71,71,NA,NA,NA,NA,27.4,23.7,31,"180073"
2025-11-01,60,60,NA,73,73,NA,NA,NA,NA,29.8,25.9,33.7,"180073"
2025-12-01,59,59,NA,77,77,NA,NA,NA,NA,27.7,25.2,30.2,"180073"
2023-07-01,57,57,NA,76,76,NA,NA,NA,NA,44.7,45.8,43.6,"180119"
2023-08-01,57,57,NA,76,76,NA,NA,NA,NA,48.8,50.2,47.4,"180119"
2023-09-01,61,61,NA,74,74,NA,NA,NA,NA,48.5,49.6,47.3,"180119"
2023-10-01,59,59,NA,76,76,NA,NA,NA,NA,50.3,51.4,49.2,"180119"
2023-11-01,58,58,NA,76,76,NA,NA,NA,NA,44.4,45.5,43.4,"180119"
2023-12-01,55,55,NA,80,80,NA,NA,NA,NA,40.6,41.4,39.8,"180119"
2024-01-01,53,53,NA,84,84,NA,NA,NA,NA,30.2,30.5,29.9,"180119"
2024-02-01,50,50,NA,87,87,NA,NA,NA,NA,27.4,28.1,26.7,"180119"
2024-03-01,51,51,NA,86,86,NA,NA,NA,NA,29.7,30.4,28.9,"180119"
2024-04-01,52,52,NA,83,83,NA,NA,NA,NA,35.6,34.9,36.4,"180119"
2024-05-01,60,60,NA,74,74,NA,NA,NA,NA,56.3,57,55.6,"180119"
2024-06-01,63,63,NA,69,69,NA,NA,NA,NA,60.9,61.9,59.9,"180119"
2024-07-01,62,62,NA,69,69,NA,NA,NA,NA,52.8,55.1,50.5,"180119"
2024-08-01,62,62,NA,68,68,NA,NA,NA,NA,52.2,53.2,51.2,"180119"
2024-09-01,60,60,NA,70,70,NA,NA,NA,NA,49,50.1,47.9,"180119"
2024-10-01,56,56,NA,74,74,NA,NA,NA,NA,40.6,41.3,39.9,"180119"
2024-11-01,55,55,NA,76,76,NA,NA,NA,NA,31.2,32,30.3,"180119"
2024-12-01,53,53,NA,79,79,NA,NA,NA,NA,30.2,30,30.4,"180119"
2025-01-01,52,52,NA,82,82,NA,NA,NA,NA,26.4,25.8,26.9,"180119"
2025-02-01,51,51,NA,86,86,NA,NA,NA,NA,25.8,26.1,25.5,"180119"
2025-03-01,49,49,NA,86,86,NA,NA,NA,NA,25.8,26.1,25.5,"180119"
2025-04-01,52,52,NA,81,81,NA,NA,NA,NA,30.6,31.4,29.9,"180119"
2025-05-01,57,57,NA,75,75,NA,NA,NA,NA,43.4,47.8,39.1,"180119"
2025-06-01,64,64,NA,71,71,NA,NA,NA,NA,40.6,44.6,36.6,"180119"
2025-07-01,61,61,NA,70,70,NA,NA,NA,NA,44.3,48.9,39.8,"180119"
2025-08-01,61,61,NA,69,69,NA,NA,NA,NA,39.1,43.7,34.6,"180119"
2025-09-01,59,59,NA,70,70,NA,NA,NA,NA,35.5,38.5,32.5,"180119"
2025-10-01,56,56,NA,74,74,NA,NA,NA,NA,31.8,35.2,28.4,"180119"
2025-11-01,53,53,NA,77,77,NA,NA,NA,NA,28,30.2,25.9,"180119"
2025-12-01,54,54,NA,78,78,NA,NA,NA,NA,29.7,32.1,27.3,"180119"
2024-08-01,58,58,NA,70,70,NA,NA,NA,NA,27.2,28.1,26.4,"180251"
2024-10-01,40,40,NA,86,86,NA,NA,NA,NA,23.3,23.6,23,"180251"
