"time_stamp","humidity","humidity_a","humidity_b","temperature","temperature_a","temperature_b","voc","voc_a","voc_b","pm2_5_atm","pm2_5_atm_a","pm2_5_atm_b","pm10_0_atm","pm10_0_atm_a","pm10_0_atm_b","sensor_id"
2024-02-01,51,51,NA,87,87,NA,NA,NA,NA,29.3,29.1,29.4,35.3,35.2,35.4,"159005"
2024-03-01,53,53,NA,84,84,NA,NA,NA,NA,27.4,27.1,27.7,32.2,32,32.4,"159005"
2024-04-01,55,55,NA,80,80,NA,NA,NA,NA,32.4,31.9,32.9,38.9,38.5,39.4,"159005"
2024-05-01,61,61,NA,74,74,NA,NA,NA,NA,41.6,40.9,42.2,51.4,50.8,51.9,"159005"
2024-07-01,67,67,NA,67,67,NA,NA,NA,NA,42,41.6,42.4,52.9,52.7,53,"159005"
2024-08-01,52,52,NA,78,78,NA,NA,NA,NA,41.7,41.4,42,52.4,52,52.8,"159005"
2024-10-01,47,47,NA,81,81,NA,NA,NA,NA,18.4,17.8,19.1,19.8,19.2,20.5,"159005"
2024-12-01,56,56,NA,76,76,NA,NA,NA,NA,30.9,30.5,31.3,36.5,36.1,36.9,"159005"
2025-01-01,52,52,NA,83,83,NA,NA,NA,NA,28.1,27.4,28.9,32.8,32,33.6,"159005"
2025-02-01,53,53,NA,84,84,NA,NA,NA,NA,28.1,27.3,28.8,32.5,31.6,33.5,"159005"
2025-03-01,52,52,NA,83,83,NA,NA,NA,NA,26.6,26.1,27.2,31.5,30.3,32.7,"159005"
2025-04-01,55,55,NA,78,78,NA,NA,NA,NA,32.5,31.9,33.2,39.9,38.1,41.6,"159005"
2025-05-01,58,58,NA,74,74,NA,NA,NA,NA,39.9,39.5,40.3,50.4,48.7,52.2,"159005"
2025-09-01,60,60,NA,70,70,NA,NA,NA,NA,36.3,35.9,36.6,46.7,44.9,48.4,"159005"
2025-10-01,59,59,NA,72,72,NA,NA,NA,NA,34.2,33.7,34.6,43.3,41.3,45.2,"159005"
2025-11-01,57,57,NA,73,73,NA,NA,NA,NA,32.2,31.6,32.8,40.3,37.9,42.7,"159005"
