"outcome","exposure_var","model","term","estimate","conf.low","conf.high","p.value"
"ACE","Humidity","Age & sex adjusted","Humidity (per SD)",-0.071,-0.854,0.711,0.858
"ACE","Humidity","Age & sex adjusted","Age",-0.279,-0.368,-0.19,0
"ACE","Humidity","Age & sex adjusted","Sex (Male)",3.824,2.177,5.472,0
"ACE","Humidity","Fully adjusted","Humidity (per SD)",-0.273,-0.971,0.425,0.443
"ACE","Humidity","Fully adjusted","Age",-0.162,-0.25,-0.074,0
"ACE","Humidity","Fully adjusted","Sex (Male)",1.229,-0.55,3.009,0.176
"ACE","Humidity","Fully adjusted","SES: NSE D",1.135,-3.768,6.038,0.65
"ACE","Humidity","Fully adjusted","SES: NSE C",3.613,0.046,7.18,0.047
"ACE","Humidity","Fully adjusted","SES: NSE B",6.719,3.276,10.163,0
"ACE","Humidity","Fully adjusted","SES: NSE A (Highest)",7.566,3.667,11.465,0
"ACE","Humidity","Fully adjusted","bmi",-0.024,-0.159,0.112,0.733
"ACE","Humidity","Fully adjusted","education_catprimary",18.072,8.713,27.431,0
"ACE","Humidity","Fully adjusted","education_catsecondary_or_higher",27.394,18.185,36.604,0
"ACE","Humidity","Fully adjusted","civil_stat_catsingle",0.133,-1.576,1.841,0.879
"ACE","Humidity","Fully adjusted","civil_stat_catseparated_widowed",0.298,-2.144,2.74,0.811
"ACE","Humidity","Fully adjusted","occupation_cathomemaker",-1.105,-2.773,0.563,0.194
"ACE","Humidity","Fully adjusted","occupation_catnot_employed",-0.906,-3.486,1.674,0.492
"ACE","Humidity","Fully adjusted","htn_cathypertension",-2.159,-4.106,-0.212,0.03
"ACE","Humidity","Fully adjusted","glucose_catPrediabetes",-0.104,-1.833,1.625,0.906
"ACE","Humidity","Fully adjusted","glucose_catDiabetes",0.523,-1.481,2.526,0.609
"ACE","Humidity","Fully adjusted","chronic_disSí",0.884,-0.66,2.427,0.262
"ACE","Humidity","Unadjusted","Humidity (per SD)",-0.128,-0.938,0.682,0.757
"ACE","PM10","Age & sex adjusted","PM10 (per SD)",-0.046,-0.836,0.744,0.91
"ACE","PM10","Age & sex adjusted","Age",-0.279,-0.368,-0.19,0
"ACE","PM10","Age & sex adjusted","Sex (Male)",3.824,2.178,5.471,0
"ACE","PM10","Fully adjusted","PM10 (per SD)",0.169,-0.555,0.894,0.647
"ACE","PM10","Fully adjusted","Age",-0.163,-0.251,-0.075,0
"ACE","PM10","Fully adjusted","Sex (Male)",1.226,-0.551,3.004,0.177
"ACE","PM10","Fully adjusted","SES: NSE D",1.109,-3.788,6.006,0.657
"ACE","PM10","Fully adjusted","SES: NSE C",3.6,0.039,7.161,0.048
"ACE","PM10","Fully adjusted","SES: NSE B",6.719,3.277,10.161,0
"ACE","PM10","Fully adjusted","SES: NSE A (Highest)",7.571,3.676,11.465,0
"ACE","PM10","Fully adjusted","bmi",-0.021,-0.157,0.114,0.76
"ACE","PM10","Fully adjusted","education_catprimary",18.124,8.745,27.503,0
"ACE","PM10","Fully adjusted","education_catsecondary_or_higher",27.415,18.192,36.639,0
"ACE","PM10","Fully adjusted","civil_stat_catsingle",0.153,-1.556,1.861,0.861
"ACE","PM10","Fully adjusted","civil_stat_catseparated_widowed",0.319,-2.119,2.757,0.797
"ACE","PM10","Fully adjusted","occupation_cathomemaker",-1.103,-2.774,0.569,0.196
"ACE","PM10","Fully adjusted","occupation_catnot_employed",-0.902,-3.477,1.673,0.492
"ACE","PM10","Fully adjusted","htn_cathypertension",-2.149,-4.097,-0.201,0.031
"ACE","PM10","Fully adjusted","glucose_catPrediabetes",-0.099,-1.827,1.628,0.91
"ACE","PM10","Fully adjusted","glucose_catDiabetes",0.539,-1.461,2.538,0.598
"ACE","PM10","Fully adjusted","chronic_disSí",0.877,-0.668,2.422,0.266
"ACE","PM10","Unadjusted","PM10 (per SD)",0.017,-0.85,0.884,0.969
"ACE","PM2.5","Age & sex adjusted","PM2.5 (per SD)",0.282,-0.504,1.069,0.482
"ACE","PM2.5","Age & sex adjusted","Age",-0.281,-0.37,-0.192,0
"ACE","PM2.5","Age & sex adjusted","Sex (Male)",3.814,2.167,5.462,0
"ACE","PM2.5","Fully adjusted","PM2.5 (per SD)",0.168,-0.56,0.896,0.651
"ACE","PM2.5","Fully adjusted","Age",-0.165,-0.252,-0.078,0
"ACE","PM2.5","Fully adjusted","Sex (Male)",1.227,-0.55,3.003,0.176
"ACE","PM2.5","Fully adjusted","SES: NSE D",1.102,-3.816,6.02,0.661
"ACE","PM2.5","Fully adjusted","SES: NSE C",3.592,0.02,7.163,0.049
"ACE","PM2.5","Fully adjusted","SES: NSE B",6.707,3.256,10.158,0
"ACE","PM2.5","Fully adjusted","SES: NSE A (Highest)",7.565,3.662,11.468,0
"ACE","PM2.5","Fully adjusted","bmi",-0.019,-0.155,0.116,0.78
"ACE","PM2.5","Fully adjusted","education_catprimary",18.133,8.741,27.524,0
"ACE","PM2.5","Fully adjusted","education_catsecondary_or_higher",27.4,18.15,36.65,0
"ACE","PM2.5","Fully adjusted","civil_stat_catsingle",0.161,-1.544,1.866,0.853
"ACE","PM2.5","Fully adjusted","civil_stat_catseparated_widowed",0.318,-2.121,2.758,0.798
"ACE","PM2.5","Fully adjusted","occupation_cathomemaker",-1.106,-2.777,0.564,0.195
"ACE","PM2.5","Fully adjusted","occupation_catnot_employed",-0.901,-3.472,1.67,0.492
"ACE","PM2.5","Fully adjusted","htn_cathypertension",-2.147,-4.101,-0.193,0.032
"ACE","PM2.5","Fully adjusted","glucose_catPrediabetes",-0.102,-1.829,1.625,0.908
"ACE","PM2.5","Fully adjusted","glucose_catDiabetes",0.536,-1.463,2.535,0.599
"ACE","PM2.5","Fully adjusted","chronic_disSí",0.879,-0.669,2.427,0.266
"ACE","PM2.5","Unadjusted","PM2.5 (per SD)",0.174,-0.683,1.031,0.69
"ACE","Temperature","Age & sex adjusted","Temperature (per SD)",0.223,-0.571,1.017,0.582
"ACE","Temperature","Age & sex adjusted","Age",-0.279,-0.369,-0.19,0
"ACE","Temperature","Age & sex adjusted","Sex (Male)",3.816,2.17,5.461,0
"ACE","Temperature","Fully adjusted","Temperature (per SD)",0.281,-0.422,0.984,0.434
"ACE","Temperature","Fully adjusted","Age",-0.164,-0.252,-0.076,0
"ACE","Temperature","Fully adjusted","Sex (Male)",1.237,-0.546,3.02,0.174
"ACE","Temperature","Fully adjusted","SES: NSE D",0.962,-3.985,5.91,0.703
"ACE","Temperature","Fully adjusted","SES: NSE C",3.526,-0.072,7.124,0.055
"ACE","Temperature","Fully adjusted","SES: NSE B",6.696,3.226,10.166,0
"ACE","Temperature","Fully adjusted","SES: NSE A (Highest)",7.51,3.588,11.433,0
"ACE","Temperature","Fully adjusted","bmi",-0.024,-0.159,0.111,0.729
"ACE","Temperature","Fully adjusted","education_catprimary",18,8.559,27.441,0
"ACE","Temperature","Fully adjusted","education_catsecondary_or_higher",27.285,17.973,36.597,0
"ACE","Temperature","Fully adjusted","civil_stat_catsingle",0.178,-1.53,1.886,0.838
"ACE","Temperature","Fully adjusted","civil_stat_catseparated_widowed",0.365,-2.08,2.81,0.77
"ACE","Temperature","Fully adjusted","occupation_cathomemaker",-1.088,-2.758,0.581,0.202
"ACE","Temperature","Fully adjusted","occupation_catnot_employed",-0.891,-3.472,1.69,0.499
"ACE","Temperature","Fully adjusted","htn_cathypertension",-2.209,-4.154,-0.263,0.026
"ACE","Temperature","Fully adjusted","glucose_catPrediabetes",-0.106,-1.83,1.617,0.904
"ACE","Temperature","Fully adjusted","glucose_catDiabetes",0.566,-1.428,2.56,0.578
"ACE","Temperature","Fully adjusted","chronic_disSí",0.863,-0.683,2.409,0.274
"ACE","Temperature","Unadjusted","Temperature (per SD)",0.203,-0.646,1.053,0.639
"DC binary","Humidity","Age & sex adjusted","Humidity (per SD)",1.067,0.896,1.27,0.469
"DC binary","Humidity","Age & sex adjusted","Age",0.987,0.976,0.998,0.025
"DC binary","Humidity","Age & sex adjusted","Sex (Male)",0.348,0.217,0.559,0
"DC binary","Humidity","Fully adjusted","Humidity (per SD)",1.134,0.942,1.366,0.184
"DC binary","Humidity","Fully adjusted","Age",0.961,0.943,0.978,0
"DC binary","Humidity","Fully adjusted","Sex (Male)",0.58,0.331,1.016,0.057
"DC binary","Humidity","Fully adjusted","SES: NSE D",0.588,0.247,1.401,0.231
"DC binary","Humidity","Fully adjusted","SES: NSE C",0.519,0.267,1.009,0.053
"DC binary","Humidity","Fully adjusted","SES: NSE B",0.293,0.147,0.583,0
"DC binary","Humidity","Fully adjusted","SES: NSE A (Highest)",0.358,0.126,1.021,0.055
"DC binary","Humidity","Fully adjusted","bmi",1.026,0.989,1.064,0.178
"DC binary","Humidity","Fully adjusted","education_catprimary",0.56,0.285,1.101,0.093
"DC binary","Humidity","Fully adjusted","education_catsecondary_or_higher",0.1,0.046,0.218,0
"DC binary","Humidity","Fully adjusted","civil_stat_catsingle",1.034,0.644,1.659,0.891
"DC binary","Humidity","Fully adjusted","civil_stat_catseparated_widowed",0.891,0.481,1.651,0.713
"DC binary","Humidity","Fully adjusted","occupation_cathomemaker",1.306,0.825,2.068,0.254
"DC binary","Humidity","Fully adjusted","occupation_catnot_employed",0.858,0.457,1.609,0.632
"DC binary","Humidity","Fully adjusted","htn_cathypertension",1.418,0.887,2.267,0.145
"DC binary","Humidity","Fully adjusted","glucose_catPrediabetes",1.058,0.648,1.725,0.823
"DC binary","Humidity","Fully adjusted","glucose_catDiabetes",1.073,0.625,1.843,0.798
"DC binary","Humidity","Fully adjusted","chronic_disSí",0.921,0.59,1.44,0.72
"DC binary","Humidity","Unadjusted","Humidity (per SD)",1.064,0.888,1.275,0.503
"DC binary","PM10","Age & sex adjusted","PM10 (per SD)",0.904,0.737,1.109,0.333
"DC binary","PM10","Age & sex adjusted","Age",0.987,0.976,0.999,0.027
"DC binary","PM10","Age & sex adjusted","Sex (Male)",0.347,0.216,0.557,0
"DC binary","PM10","Fully adjusted","PM10 (per SD)",0.836,0.665,1.051,0.125
"DC binary","PM10","Fully adjusted","Age",0.961,0.944,0.979,0
"DC binary","PM10","Fully adjusted","Sex (Male)",0.574,0.328,1.004,0.052
"DC binary","PM10","Fully adjusted","SES: NSE D",0.589,0.249,1.389,0.226
"DC binary","PM10","Fully adjusted","SES: NSE C",0.517,0.268,0.997,0.049
"DC binary","PM10","Fully adjusted","SES: NSE B",0.295,0.149,0.582,0
"DC binary","PM10","Fully adjusted","SES: NSE A (Highest)",0.355,0.125,1.009,0.052
"DC binary","PM10","Fully adjusted","bmi",1.024,0.988,1.063,0.198
"DC binary","PM10","Fully adjusted","education_catprimary",0.545,0.279,1.064,0.075
"DC binary","PM10","Fully adjusted","education_catsecondary_or_higher",0.097,0.045,0.212,0
"DC binary","PM10","Fully adjusted","civil_stat_catsingle",1.033,0.644,1.656,0.893
"DC binary","PM10","Fully adjusted","civil_stat_catseparated_widowed",0.876,0.471,1.631,0.676
"DC binary","PM10","Fully adjusted","occupation_cathomemaker",1.288,0.813,2.039,0.281
"DC binary","PM10","Fully adjusted","occupation_catnot_employed",0.862,0.461,1.615,0.644
"DC binary","PM10","Fully adjusted","htn_cathypertension",1.402,0.877,2.24,0.158
"DC binary","PM10","Fully adjusted","glucose_catPrediabetes",1.058,0.65,1.724,0.82
"DC binary","PM10","Fully adjusted","glucose_catDiabetes",1.081,0.63,1.854,0.778
"DC binary","PM10","Fully adjusted","chronic_disSí",0.915,0.583,1.434,0.697
"DC binary","PM10","Unadjusted","PM10 (per SD)",0.908,0.739,1.116,0.36
"DC binary","PM2.5","Age & sex adjusted","PM2.5 (per SD)",0.913,0.748,1.114,0.37
"DC binary","PM2.5","Age & sex adjusted","Age",0.987,0.976,0.999,0.027
"DC binary","PM2.5","Age & sex adjusted","Sex (Male)",0.349,0.217,0.56,0
"DC binary","PM2.5","Fully adjusted","PM2.5 (per SD)",0.92,0.756,1.12,0.405
"DC binary","PM2.5","Fully adjusted","Age",0.961,0.944,0.979,0
"DC binary","PM2.5","Fully adjusted","Sex (Male)",0.58,0.331,1.014,0.056
"DC binary","PM2.5","Fully adjusted","SES: NSE D",0.61,0.257,1.45,0.264
"DC binary","PM2.5","Fully adjusted","SES: NSE C",0.533,0.275,1.033,0.062
"DC binary","PM2.5","Fully adjusted","SES: NSE B",0.302,0.152,0.598,0.001
"DC binary","PM2.5","Fully adjusted","SES: NSE A (Highest)",0.363,0.127,1.036,0.058
"DC binary","PM2.5","Fully adjusted","bmi",1.024,0.987,1.063,0.2
"DC binary","PM2.5","Fully adjusted","education_catprimary",0.544,0.277,1.07,0.078
"DC binary","PM2.5","Fully adjusted","education_catsecondary_or_higher",0.1,0.046,0.218,0
"DC binary","PM2.5","Fully adjusted","civil_stat_catsingle",1.018,0.636,1.629,0.94
"DC binary","PM2.5","Fully adjusted","civil_stat_catseparated_widowed",0.867,0.464,1.62,0.654
"DC binary","PM2.5","Fully adjusted","occupation_cathomemaker",1.315,0.833,2.078,0.24
"DC binary","PM2.5","Fully adjusted","occupation_catnot_employed",0.868,0.464,1.623,0.657
"DC binary","PM2.5","Fully adjusted","htn_cathypertension",1.415,0.886,2.262,0.146
"DC binary","PM2.5","Fully adjusted","glucose_catPrediabetes",1.048,0.646,1.702,0.848
"DC binary","PM2.5","Fully adjusted","glucose_catDiabetes",1.065,0.623,1.822,0.817
"DC binary","PM2.5","Fully adjusted","chronic_disSí",0.921,0.588,1.443,0.72
"DC binary","PM2.5","Unadjusted","PM2.5 (per SD)",0.903,0.733,1.112,0.336
"DC binary","Temperature","Age & sex adjusted","Temperature (per SD)",1.081,0.9,1.299,0.406
"DC binary","Temperature","Age & sex adjusted","Age",0.987,0.976,0.998,0.024
"DC binary","Temperature","Age & sex adjusted","Sex (Male)",0.347,0.216,0.556,0
