"virusIndex","moldIndex","temperature","humidity","pm25","tvoc","co2","co","airPressure","ozone","no2","timestamp","deviceName","macAddress"
4,6,25.8,70,5,1337,545,0,1000.9,3,0,1740787200,"uHoo 1 (DA82)","e415f654da82"
3,4,25.8,68.8,5,1576,547,0,1001.5,4,1,1740790800,"uHoo 1 (DA82)","e415f654da82"
4,6,25.6,70,6,1605,562,0,1001.9,3,0,1740794400,"uHoo 1 (DA82)","e415f654da82"
4,6,25.1,71.8,5,1301,555,0,1001.9,3,0,1740798000,"uHoo 1 (DA82)","e415f654da82"
4,5,24.7,71.7,4,1184,549,0,1001.5,3,0,1740801600,"uHoo 1 (DA82)","e415f654da82"
4,5,24.6,71.1,4,1068,544,0,1001.2,3,1,1740805200,"uHoo 1 (DA82)","e415f654da82"
4,5,24,73.4,5,949,542,0,1000.9,4,1,1740808800,"uHoo 1 (DA82)","e415f654da82"
3,5,23.2,77.3,4,764,539,0,1000.4,4,1,1740812400,"uHoo 1 (DA82)","e415f654da82"
3,5,22.8,79.2,5,727,534,0,1000.1,4,0,1740816000,"uHoo 1 (DA82)","e415f654da82"
4,6,22.6,80.9,5,722,537,0,1000.1,4,0,1740819600,"uHoo 1 (DA82)","e415f654da82"
4,6,22.3,82.3,6,763,536,0,1000.4,4,0,1740823200,"uHoo 1 (DA82)","e415f654da82"
4,6,21.9,83.8,6,783,541,0,1001,4,1,1740826800,"uHoo 1 (DA82)","e415f654da82"
4,6,21.8,83.6,6,988,540,0,1001.8,4,1,1740830400,"uHoo 1 (DA82)","e415f654da82"
4,6,22.5,80.7,7,1162,539,0,1002.2,4,1,1740834000,"uHoo 1 (DA82)","e415f654da82"
3,5,22.7,79.8,10,1066,540,0,1002,5,3,1740837600,"uHoo 1 (DA82)","e415f654da82"
3,5,23.6,75.6,13,183,533,0,1001.7,7,7,1740841200,"uHoo 1 (DA82)","e415f654da82"
3,5,23.9,75.6,11,872,537,0,1001.4,7,3,1740844800,"uHoo 1 (DA82)","e415f654da82"
3,5,23.9,75.8,11,672,534,0,1000.8,7,4,1740848400,"uHoo 1 (DA82)","e415f654da82"
4,5,24.7,71.2,11,707,531,0,1000.2,7,5,1740852000,"uHoo 1 (DA82)","e415f654da82"
4,6,25.1,70.3,12,680,526,0,999.6,7,9,1740855600,"uHoo 1 (DA82)","e415f654da82"
3,4,25.4,69.2,11,640,530,0,999.1,7,8,1740859200,"uHoo 1 (DA82)","e415f654da82"
3,4,26.3,65.7,10,1074,549,0,998.7,6,1,1740862800,"uHoo 1 (DA82)","e415f654da82"
3,4,25.8,66.1,9,1244,581,0,998.9,5,0,1740866400,"uHoo 1 (DA82)","e415f654da82"
4,6,25.3,70.6,9,1649,561,0,999.7,4,0,1740870000,"uHoo 1 (DA82)","e415f654da82"
4,6,25,72.1,9,1610,551,0,1000.3,4,0,1740873600,"uHoo 1 (DA82)","e415f654da82"
4,6,25.2,70.9,9,1896,548,0,1000.8,4,1,1740877200,"uHoo 1 (DA82)","e415f654da82"
4,5,24.8,73.3,9,1735,543,0,1001.2,5,0,1740880800,"uHoo 1 (DA82)","e415f654da82"
4,5,24,77.1,9,1462,550,0,1001.6,5,1,1740884400,"uHoo 1 (DA82)","e415f654da82"
3,5,23.8,77,8,1195,538,0,1001.5,6,1,1740888000,"uHoo 1 (DA82)","e415f654da82"
3,5,23.6,77.3,8,1150,537,0,1001.2,6,1,1740891600,"uHoo 1 (DA82)","e415f654da82"
3,5,23.4,78.1,8,1025,537,0,1001,6,0,1740895200,"uHoo 1 (DA82)","e415f654da82"
4,6,22.8,81.3,8,709,534,0,1000.7,6,0,1740898800,"uHoo 1 (DA82)","e415f654da82"
4,6,22.6,81.5,9,703,534,0,1000.6,7,0,1740902400,"uHoo 1 (DA82)","e415f654da82"
4,6,22.5,82,9,600,534,0,1000.7,7,1,1740906000,"uHoo 1 (DA82)","e415f654da82"
4,6,22.5,81.5,8,576,531,0,1000.9,7,2,1740909600,"uHoo 1 (DA82)","e415f654da82"
