"macAddress","datetime","datetime_local","virusIndex","moldIndex","temperature","humidity","pm25","tvoc","co2","co","airPressure","ozone","no2"
"e415f654da82",2025-02-23 01:00:00,2025-02-22 20:00:00,4,5,25.1,65.4,6,0,934,0,1003,8,19
"e415f654da82",2025-02-23 02:00:00,2025-02-22 21:00:00,3,3,24.7,65.3,11,1,545,0,1003.8,6,11
"e415f654da82",2025-02-23 03:00:00,2025-02-22 22:00:00,4,4,24.7,65.6,21,2946,538,0,1003.8,3,0
"e415f654da82",2025-02-23 04:00:00,2025-02-22 23:00:00,4,4,24.6,67.6,24,3550,551,0,1003.3,3,0
"e415f654da82",2025-02-23 05:00:00,2025-02-23,4,4,24.5,68.7,24,3243,543,0,1002.7,3,0
"e415f654da82",2025-02-23 06:00:00,2025-02-23 01:00:00,4,4,24.4,69.5,23,3033,545,0,1001.9,3,0
"e415f654da82",2025-02-23 07:00:00,2025-02-23 02:00:00,6,5,24.4,69.6,25,2981,539,0,1001.4,3,0
"e415f654da82",2025-02-23 08:00:00,2025-02-23 03:00:00,5,6,24.2,70.2,24,2887,534,0,1001.3,3,0
"e415f654da82",2025-02-23 09:00:00,2025-02-23 04:00:00,5,6,24.1,70.7,24,2763,533,0,1001.5,3,1
"e415f654da82",2025-02-23 10:00:00,2025-02-23 05:00:00,5,6,24.2,71.2,24,2543,536,0,1001.8,3,1
"e415f654da82",2025-02-23 11:00:00,2025-02-23 06:00:00,6,7,23.8,75.3,25,2510,551,0,1002.3,3,1
"e415f654da82",2025-02-23 12:00:00,2025-02-23 07:00:00,4,6,23.3,79.5,25,2627,550,0,1002.8,3,0
"e415f654da82",2025-02-23 13:00:00,2025-02-23 08:00:00,5,7,23.4,80,25,2644,552,0,1003,3,1
"e415f654da82",2025-02-23 14:00:00,2025-02-23 09:00:00,4,6,23,79.3,24,2297,539,0,1002.8,3,0
"e415f654da82",2025-02-23 15:00:00,2025-02-23 10:00:00,5,7,23.3,80.1,21,298,551,0,1002.4,5,9
"e415f654da82",2025-02-23 16:00:00,2025-02-23 11:00:00,5,6,24,74.3,20,1911,538,0,1001.9,3,0
"e415f654da82",2025-02-23 17:00:00,2025-02-23 12:00:00,5,6,24.2,70.2,19,2124,535,0,1001.2,3,0
"e415f654da82",2025-02-23 18:00:00,2025-02-23 13:00:00,4,4,24.7,67,19,2724,527,0,1000.6,3,0
"e415f654da82",2025-02-23 19:00:00,2025-02-23 14:00:00,4,5,25.1,64.6,19,1993,527,0,1000,3,0
"e415f654da82",2025-02-23 20:00:00,2025-02-23 15:00:00,4,5,25.5,64.6,19,2072,536,0,999.7,3,0
"e415f654da82",2025-02-23 21:00:00,2025-02-23 16:00:00,4,5,26.2,62.1,20,2087,559,0,999.6,3,0
"e415f654da82",2025-02-23 22:00:00,2025-02-23 17:00:00,4,5,25.6,65.3,20,2465,612,0,1000.1,3,1
"e415f654da82",2025-02-23 23:00:00,2025-02-23 18:00:00,4,5,25.4,66.9,20,2416,647,0,1001,3,1
"e415f654da82",2025-02-24,2025-02-23 19:00:00,4,4,24.6,69.7,22,2830,549,0,1001.7,3,1
"e415f654da82",2025-02-24 01:00:00,2025-02-23 20:00:00,5,6,24.2,70.9,22,2566,545,0,1002.3,3,0
"e415f654da82",2025-02-24 02:00:00,2025-02-23 21:00:00,5,6,24.3,70,22,3777,555,0,1002.8,3,1
"e415f654da82",2025-02-24 03:00:00,2025-02-23 22:00:00,4,4,24.1,69.8,22,2890,548,0,1002.9,3,0
"e415f654da82",2025-02-24 04:00:00,2025-02-23 23:00:00,4,4,24.3,69.7,23,2345,555,0,1002.5,3,1
"e415f654da82",2025-02-24 05:00:00,2025-02-24,4,4,24.6,68.9,22,2787,558,0,1002.3,3,1
"e415f654da82",2025-02-24 06:00:00,2025-02-24 01:00:00,4,4,24.6,68.4,22,3003,552,0,1001.8,3,0
"e415f654da82",2025-02-24 07:00:00,2025-02-24 02:00:00,4,4,24.6,68.2,22,3139,553,0,1001.6,3,0
"e415f654da82",2025-02-24 08:00:00,2025-02-24 03:00:00,4,4,24.6,68.2,22,2958,558,0,1001.3,3,1
"e415f654da82",2025-02-24 09:00:00,2025-02-24 04:00:00,5,6,24.4,71.1,22,2815,555,0,1001.3,3,1
"e415f654da82",2025-02-24 10:00:00,2025-02-24 05:00:00,4,6,23.7,75.7,23,2154,557,0,1001.4,3,0
"e415f654da82",2025-02-24 11:00:00,2025-02-24 06:00:00,5,7,22.6,80.6,22,1934,555,0,1001.5,3,0
"e415f654da82",2025-02-24 12:00:00,2025-02-24 07:00:00,5,7,23.1,80,23,2445,573,0,1001.7,3,1
"e415f654da82",2025-02-24 13:00:00,2025-02-24 08:00:00,4,6,23.5,78.2,25,2422,563,0,1002.1,3,0
"e415f654da82",2025-02-24 14:00:00,2025-02-24 09:00:00,5,6,24.1,74,24,2299,562,0,1002.1,3,1
"e415f654da82",2025-02-24 15:00:00,2025-02-24 10:00:00,6,5,24.9,69.4,25,1895,543,0,1001.7,4,1
"e415f654da82",2025-02-24 16:00:00,2025-02-24 11:00:00,4,4,24.9,69.7,23,1314,536,0,1001.1,4,0
